Title,Author1,Publisher,Copyright,List Price/Total:4744.1,ISBN,Edition,REF?,RESERVE?,RECD?,MajorClassification,Category,Specialty
Mastering Public Health: Essential Skills for Effective Practice,"Levy , Barry S.","Oxford University Press, Inc.",2012,$59.95 ,9780199753970,,,,,,PH,
The Immortal Life of Henrietta Lacks,"Skloot , Rebecca",Broadway Books,2011,$16.00 ,9781400052189,,,,,,LEI,
Occupational and Environmental Health: Recognizing and Preventing Disease and Injury,"Levy , Barry","Oxford University Press, Inc.",2011,$79.95 ,9780195397888,,,,,,EOHS,
"Healthy and Safe Homes: Research, Practice, and Policy","Morley , Rebecca",American Public Health Association,2011,$55.00 ,9780875531977,,,,,,EOHS,
Megacities and Global Health,"Khan , Omar A.",American Public Health Association,2011,$70.00 ,9780875530031,,,,,,EOHS,
"Water and Sanitation-Related Diseases and the Environment: Challenges, Interventions and Preventive Measures","Selendy , Janine",Wiley-Blackwell,2011,$149.95 ,9780470527856,,,,,,EOHS,
"Occupational and Environmental Lung Diseases: Diseases from Work, Home, Outdoor and Other Exposures","Tarlo , Susan",Wiley-Blackwell,2010,$230.00 ,9780470515945,,REF,,,,EOHS,
Occupational Asthma,"Sigsgaard , Torben",Springer,2010,$259.00 ,9783764385552,,REF,,,,EOHS,
"Lethal But Legal: Corporations, Consumption, and Protecting Public Health","Freudenber, Nicholas","Oxford University Press, Inc.",2014,$29.95 ,9780199937196,,,,,,LEI,
Childhood Obesity: Ethical and Policy Issues,"Voight, Kristen","Oxford University Press, Inc.",2014,$55.00 ,9780199964482,,,,,,PH,
Working and Living in the Shadow of Economic Fragility,"Crain, Marion","Oxford University Press, Inc.",2014,$45.95 ,9780199988488,,,,,,COMHE,
"Migration, Ethnicity, Race, and Health in Multicultural Societies","Bhopal, Raj","Oxford University Press, Inc.",2014,$65.00 ,9780199667864,,,,,,COMHE,
The Oxford Handbook of the Social Science of Obesity,"Cawley, John ","Oxford University Press, Inc.",2014,$55.00 ,9780199359974,,,,,,PH,
Comparative Effectiveness Research,"Rogers, Mary","Oxford University Press, Inc.",2013,$45.00 ,9780199986040,,,,,,PH,
Health Promotion and the Policy Process,"Clavier, Evelyn","Oxford University Press, Inc.",2013,$59.95 ,9780199658039,,,,,,PH,
"Inequalities in Health: Concepts, Measures, and Ethics","Eyal, Nir","Oxford University Press, Inc.",2013,$59.95 ,9780199931392,,,,,,COMHE,
Epidemiology and the People's Health: Theory and Context,"Krieger, Nancy","Oxford University Press, Inc.",2011,$39.95 ,9780195383874,,,,,,EPIBIOS,
Current Topics in Occupational Epidemiology,"Venables, Katherine","Oxford University Press, Inc.",2013,$59.95 ,9780199683901,,,,,,EPIBIOS/EOHS,
Advancing the Human Right to Health,"Zuniga, Jose","Oxford University Press, Inc.",2013,$85.00 ,9780199661619,,,,,,PH,
Social Movements and the Transformation of American Health Care,"Banaszak-Holl, Jane","Oxford University Press, Inc.",2013,$29.95 ,9780195388305,,,,,,PH,
The Oxford Handbook of Health Economics,"Glied, Sherry","Oxford University Press, Inc.",2011,$175.00 ,9780199238828,,REF,,,,PH,
Cancer Epidemiology: Low- and Middle-Income Countries and Special Populations,"Soliman, AMR","Oxford University Press, Inc.",2013,$75.00 ,9780199733507,,,,,,EPIBIOS,
"Comparative Effectiveness Research: Evidence, Medicine, and Policy","Ashton, Carol","Oxford University Press, Inc.",2013,$55.00 ,9780199968565,,,,,,PH/COMHE,
